陽,볕 양,6급,局,판[形局] 국,5급Ⅱ,平,평평할 평,7급Ⅱ,船,배 선,5급,仕,섬길 사(:),5급Ⅱ,養,기를 양:,5급Ⅱ,課,공부할/과정 과(:),5급Ⅱ,天,하늘 천,7급,友,벗 우:,5급Ⅱ,向,향할 향:,6급
失,잃을 실,6급,雨,비 우:,5급Ⅱ,別,다를/나눌 별,6급,會,모일 회:,6급Ⅱ,賣,팔 매(:),5급,災,재앙 재,5급,衣,옷 의,6급,院,집 원,5급,寒,찰 한,5급,國,나라 국,8급
邑,고을 읍,7급,功,공[勳] 공,6급Ⅱ,葉,잎 엽,5급,行,다닐 행(:)|항렬 항,6급,凶,흉할 흉,5급Ⅱ,地,따 지,7급,示,보일 시:,5급,任,맡길 임(:),5급Ⅱ,靑,푸를 청,8급,記,기록할 기,7급Ⅱ
祖,할아비 조,7급,川,내 천,7급,右,오를/오른(쪽) 우:,7급Ⅱ,名,이름 명,7급Ⅱ,生,날 생,8급,漁,고기잡을 어,5급,特,특별할 특,6급,每,매양 매(:),7급Ⅱ,對,대할 대:,6급Ⅱ,習,익힐 습,6급
部,떼 부,6급Ⅱ,偉,클 위,5급Ⅱ,動,움직일 동:,7급Ⅱ,店,가게 점:,5급Ⅱ,親,친할 친,6급,百,일백 백,7급,景,볕 경(:),5급,改,고칠 개(:),5급,赤,붉을 적,5급,老,늙을 로:,7급
健,굳셀 건:,5급,宅,집 택,5급Ⅱ,輕,가벼울 경,5급,化,될 화(:),5급Ⅱ,則,법칙 칙,5급,字,글자 자,7급,注,부을 주:,6급Ⅱ,充,채울 충,5급Ⅱ,重,무거울 중:,7급,成,이룰 성,6급Ⅱ
萬,일만 만:,8급,以,써 이:,5급Ⅱ,英,꽃부리 영,6급,遠,멀 원:,6급,週,주일 주,5급Ⅱ,高,높을 고,6급Ⅱ,反,돌이킬/돌아올 반:,6급Ⅱ,鮮,고울 선,5급Ⅱ,調,고를 조,5급Ⅱ,歲,해 세:,5급Ⅱ
宿,잘 숙|별자리 수:,5급Ⅱ,良,어질 량,5급Ⅱ,料,헤아릴 료(:),5급,兄,형 형,8급,下,아래 하:,7급Ⅱ,査,조사할 사,5급,秋,가을 추,7급,左,왼 좌:,7급Ⅱ,來,올 래(:),7급,敎,가르칠 교:,8급
術,재주 술,6급Ⅱ,父,아비 부,8급,姓,성 성:,7급Ⅱ,金,쇠 금|성(姓) 김,8급,節,마디 절,5급Ⅱ,切,끊을 절|온통 체,5급Ⅱ,強,강할 강(:),6급,流,흐를 류,5급Ⅱ,後,뒤 후:,7급Ⅱ,三,석 삼,8급
作,지을 작,6급Ⅱ,共,한가지 공:,6급Ⅱ,落,떨어질 락,5급,間,사이 간(:),7급Ⅱ,利,이할 리:,6급Ⅱ,愛,사랑 애(:),6급,寫,베낄 사,5급,告,고할 고:,5급Ⅱ,倍,곱 배(:),5급,質,바탕 질,5급Ⅱ
他,다를 타,5급,耳,귀 이:,5급,上,윗  상:,7급Ⅱ,熱,더울 열,5급,四,넉 사:,8급,曜,빛날요:,5급,財,재물 재,5급Ⅱ,今,이제 금,6급Ⅱ,福,복 복,5급Ⅱ,五,다섯 오:,8급
書,글 서,6급Ⅱ,同,한가지 동,7급,角,뿔 각,6급Ⅱ,孝,효도 효:,7급Ⅱ,子,아들 자,7급Ⅱ,法,법 법,5급Ⅱ,服,옷 복,6급,筆,붓 필,5급Ⅱ,紙,종이 지,7급,現,나타날 현:,6급Ⅱ
訓,가르칠 훈:,6급,技,재주 기,5급,效,본받을 효:,5급Ⅱ,漢,한수/한나라 한:,7급Ⅱ,自,스스로 자,7급Ⅱ,感,느낄 감:,6급,場,마당 장,7급Ⅱ,的,과녁 적,5급Ⅱ,力,힘 력,7급Ⅱ,板,널 판,5급
思,생각 사(:),5급,致,이를 치:,5급,食,밥/먹을 식,7급Ⅱ,讀,읽을 독|구절 두,6급Ⅱ,相,서로 상,5급Ⅱ,目,눈 목,6급,識,알 식,5급Ⅱ,吉,길할 길,5급,土,흙 토,8급,所,바 소:,7급
定,정할 정:,6급,體,몸 체,6급Ⅱ,線,줄 선,6급Ⅱ,舊,예 구:,5급Ⅱ,具,갖출 구(:),5급Ⅱ,億,억[數字] 억,5급,界,지경 계:,6급Ⅱ,洗,씻을 세:,5급Ⅱ,在,있을 재:,6급,千,일천 천,7급
道,길 도:,7급Ⅱ,浴,목욕할 욕,5급,夫,지아비 부,7급,育,기를 육,7급,洋,큰바다 양,6급,全,온전 전,7급Ⅱ,死,죽을 사:,6급,然,그럴 연,7급,公,공평할 공,6급Ⅱ,心,마음 심,7급
亡,망할 망,5급,球,공 구,6급Ⅱ,着,붙을 착,5급Ⅱ,神,귀신 신,6급Ⅱ,首,머리 수,5급Ⅱ,情,뜻 정,5급Ⅱ,二,두 이:,8급,位,자리 위,5급,旗,기 기,7급,分,나눌 분(:),6급Ⅱ
